UID	BLANK	GWEIGHT	2A4SA	2A4SA(2)	2A0SB	2A0SA	2A4SB	2A10SB	2A10SB-20	1A17SA	1A17SA-12	2A0SB(2)	2C0SB	2C7SA	1A7SB	2A10SA	2C10SA
MR-5 MC-4 R-7 C-5		1	3375.675464	419.050377	887.3682918	1977.92028	1790.420688	2857.593898	1551.182394	478.4343459	1224.578779	1701.740056	2041.236163	1346.401174	1606.4776	1376.887561	1044.00098
MR-5 MC-4 R-7 C-6		1	6929.717105	627.9247307	1360.553297	2860.737277	3013.989501	3783.253164	2528.301021	961.8244362	1919.732894	2632.403037	3404.454442	2148.18168	2400.695381	2030.117853	1764.194935
MR-5 MC-4 R-7 C-7		1	6664.679192	1046.399868	1498.955787	3052.603979	4009.6887	3781.496524	3089.629173	1615.381664	3756.324125	3483.988827	3144.512198	2250.551786	2614.675298	3145.188128	2936.416624
MR-5 MC-4 R-7 C-8		1	5334.500026	720.2182112	1702.520581	2789.386375	2907.320717	2959.890086	1740.018579	865.9258792	2876.803447	2717.187676	2316.040084	1718.934721	1930.817667	1387.102355	1736.327487
MR-5 MC-4 R-7 C-9		1	4578.134915	649.595573	1225.771203	2201.699452	2435.753394	2767.250509	1708.859492	597.1934284	1573.586577	2210.381008	2055.96451	2233.599811	2072.145122	1348.860419	1511.592506
MR-5 MC-4 R-7 C-10		1	3352.775619	570.7656156	1008.897304	1929.129125	1612.75995	2542.423618	1734.294729	431.5100744	762.1540909	1830.596296	1808.382591	2125.993844	1759.78897	1770.758912	1597.934474
MR-5 MC-4 R-7 C-11		1	1589.967546	374.5261804	610.1677177	1223.297753	1350.379785	1448.103934	897.6071429	291.7787	1191.33125	1331.72409	1309.213462	1162.875095	1040.017622	553.5609501	575.1053945
MR-5 MC-4 R-7 C-12		1	2195.000214	253.2289256	273.4390673	596.1060208	842.9200503	801.9913369	845.631835	204.5479766	445.4067894	557.2724446	513.7038698	738.0663472	664.893566	684.2830447	578.4531517
MR-5 MC-4 R-7 C-13		1	2919.543047	382.26875	774.6236667	1171.350694	1443.131342	10072.34569	8816.217802	520.9957183	1201.393257	1228.559271	1387.740835	5436.118496	2988.833593	8574.511191	6662.679851
MR-5 MC-4 R-7 C-14		1	4416.516402	733.8167572	1258.769489	1901.855584	1802.114679	22155.22246	18805.70894	906.1986164	2185.407514	1811.728861	1689.024896	7089.402549	4179.745713	15612.21033	10685.27687
MR-5 MC-4 R-7 C-15		1	4754.072194	667.4959261	1075.396866	1788.008825	1501.77161	1547.398707	1747.970492	789.9924673	1698.409499	1819.261905	1737.537786	1767.032167	1751.226603	1606.25838	1303.783485
MR-5 MC-4 R-7 C-16		1	5262.464329	980.6107026	2331.648887	2426.80203	2024.032621	2370.694301	2046.380495	1109.488462	1575.347589	3325.217619	3233.983014	2984.518015	2782.886936	1458.292422	1961.219438
MR-5 MC-4 R-8 C-1		1	8501.376557	973.3791246	2328.080586	4262.869216	4989.485355	6887.431271	3970.509058	1585.169414	3705.667824	3732.06057	4646.124959	3173.183733	3709.719077	4029.585475	3304.506225
MR-5 MC-4 R-8 C-2		1	2133.032079	200.617738	311.4396303	811.9407003	915.5509622	1267.060185	741.6260918	283.8002042	732.9624249	690.4604551	741.4124542	694.4529412	673.3365468	740.764122	652.6435463
MR-5 MC-4 R-8 C-3		1	695.2296435	115.0387537	253.0608502	514.8002685	325.7463359	631.1554233	558.9675926	160.9591153	378.0365331	393.2227008	544.9161923	545.5163957	576.2041585	501.8376105	482.3108398
MR-5 MC-4 R-8 C-4		1	4179.237726	640.2818562	1439.436268	1876.837262	2300.612891	2893.216356	1949.66589	610.1629531	1577.36843	2217.015414	2008.273084	2713.243137	2005.612549	1914.9889	1917.282519
MR-5 MC-4 R-8 C-5		1	1999.744722	298.6605546	511.8755708	925.5000709	824.4183648	1211.431238	881.4930666	341.4753298	658.0692637	959.500129	984.1025641	908.0046458	846.9323784	754.1742653	759.3337933
